Title,year,Authors
MANAGE THE LOAD,2025,"Clark, Matthew;Kolen, Edwin"
Congressional Oversight of the Military Health System: Lessons Learned from the Walter Reed Army Medical Center Scandal,2025,"Mendez, Bryce H. P."
ADDRESSING THE KNOWLEDGE GAP IN OPERATIONAL CONTRACT SUPPORT: ARMY LOGISTICIAN,2024,"Rupp, Tiffany"
Qué hace falta para ganar tu primer rol como CIO,2024,
HR SUSTAINMENT: Defending a Free Open Indo-Pacific: Army Logistician,2024,"Stitt, Douglas F;Lane, Barrcary J;Behler, Jason M"
President's Circle-INDUSTRY MEMBERS,2024,Anonymous
NEW AFRC DIVISION TO FOCUS ON SYNCHRONIZING RECRUITING AND RETENTION,2024,"Joyner, Bo"
The Problem With Birds,2024,"Bernacki, David M;Hamm, Robert E, Jr;Wan, Hung-da"
Project Engineers on the Frontline: The Impact of Work-Related Stressors and Turnover Intentions: A Correlational Study,2024,"Turner, Shane P."
The Ontology of Nurse Wellbeing Within United States Air Force Primary Care Medical Homes,2024,"Taccogno, Charee Laureen"
Leadership Development Strategies for Sustaining Organization Performance Through the Upper Echelon Theory,2024,"McCants, Marjorie H."
SEPARATE BUT TOGETHER,2023,"Willecke, Frederick;O'Leary, Dan;Lowery, Shelley"
What Being a DoD Financial Management Professional Means,2023,"Di Genio, John"
CAN YOU HEAR ME?,2023,"Andreeko, Karen, Lt Col USA Ret;Grosshans, Brett, DBA Lt Col USMC Ret;Dereiter, Derek;Nicholas, Tinesha;Willecke, Fred"
smart women Awards,2023,Anonymous
INDUSTRY MEMBERS-President's Circle,2023,Anonymous
Passing the Word,2023,"Watts, Kyle"
The Influence of Attachment Styles and Mental Health Symptoms on Marital Satisfaction Among Deployed US Army Soldiers,2023,"Mora, Leo, Jr."
Improving Defense Acquisition Process Timelines in a System Program Office,2023,"Armstrong, John Henry, Jr."
Correlating Leadership Styles to Job Satisfaction in the U.S. Army’s Parachute Rigger Community,2023,"Hunter, Angela J."
Project Teams’ Dynamics and Morale: An Exploration of Impacts of Pandemic Adaptation in a Segment of the U.S. Navy,2023,"McKalip, Layla R."
"The Good, the Bad, and the Ugly (of Service Contracting)",2022,"Snell, Michael V"
Chairman's Circle,2022,Anonymous
Bayesian Modeling Coating Performance,2022,"Ellor, James A;Florimbio, Anthony;Barker, Lisa A;Pope, Daniel;Savell, C Thomas;Repp, John"
THE ESSENTIAL ROLE OF SOLDIER TOUCH POINTS,2022,"Thompson, Maureena"
"A Textile Education, Circa 2022",2022,"Kaufmann, Jim"
Demystifying service as a US Army engineer: IE,2022,"Powers, Brett"
A Qualitative Intrinsic Case Study Exploring the Effectiveness of Instructor Upgrade Training among Air National Guard Air Battle Managers,2022,"Kelly, Bradley N."
Sole Sourcing Reliance,2022,"Stammreich, John S."
From the Editor-in-Chief,2021,"McCouch, Nelson, III"
Using Risk as the Lens to Envision High-Reliability Principles in Healthcare,2021,"Bradshaw, Donald M;Keyser, Stephanie"
Tech Program Preview,2021,"Johnson, Nolan"
Os Três Pilares da Sustentabilidade e Gestão ágil de Projectos: Como é Que Eles se Influenciam,2021,"Nogueira, Maria Carolina Conceição Cancela"
High Reliability at a U.S. Air Force Outpatient Clinic: Have We Improved and Are We Ready for the Future,2021,"Grodrian, Stanley Wayne"
Breaking the Black Brass Ceiling: An Examination of Success Strategies of Veteran and Retired African American Female Leaders during Their Career Ascension to Top Leadership Positions in the United States Department of Defense,2021,"Blanche, Tawanna"
A Qualitative Study on Government Project Overruns: From the Users Perspective,2021,"Nolet, Maurice Daniel"
LEADERSHIP THROUGH INSPIRATION,2021,"Summey, Ellen"
CREATING SUCCESS OUT OF NECESSITY,2021,"Alexander, Leigh Anne;Wood, Kenneth L"
Interview with Honorable Thomas W. Harker,2020,"Runnels, Al"
To Travel or Not to Travel: New tool helps Reservists make an informed de,2020,"Joyner, Bo"
UNDERSTANDING the CONTRACTING ENVIRONMENT in the AFSB: Army Logistician,2020,"Carlstedt, Christopher"
Exploring the Factors Responsible for the Delays in the Execution of Construction Projects by the National Department of Public Works and Infrastructure in South Africa,2020,"Cosa, Sandiso"
The Army’s Process to Evaluate Costs versus Benefits: A Case Study on the Change of Command Ceremonies,2020,"Malin, Ryan"
