Title,year,primary_theme
MANAGE THE LOAD,2025,Management and Leadership
Congressional Oversight of the Military Health System: Lessons Learned from the Walter Reed Army Medical Center Scandal,2025,Management and Leadership
A Predictive Decision-Support Framework Using Machine Learning Algorithms to Mitigate Supply Chain Risks and Optimize On-Time Delivery of Gas Turbine Jet Engines,2025,Process Improvement
Analyzing Factors That Contribute to Cost Overruns on Department of Defense (DoD) Contractor Programs,2025,Continuous Learning
Imaging anatomy study related to unilateral biportal endoscopic lumbar spine surgery,2024,Process Improvement
ADDRESSING THE KNOWLEDGE GAP IN OPERATIONAL CONTRACT SUPPORT: ARMY LOGISTICIAN,2024,Management and Leadership
Qué hace falta para ganar tu primer rol como CIO,2024,Management and Leadership
HR SUSTAINMENT: Defending a Free Open Indo-Pacific: Army Logistician,2024,Management and Leadership
President's Circle-INDUSTRY MEMBERS,2024,Management and Leadership
NEW AFRC DIVISION TO FOCUS ON SYNCHRONIZING RECRUITING AND RETENTION,2024,Management and Leadership
The Problem With Birds,2024,Management and Leadership
"Signal Processing for Large Arrays : Convolutional Beamspace, Hybrid Analog and Digital Processing, and Distributed Algorithms",2024,Process Improvement
Dynamic Instability Investigation of the Automotive Driveshaft’s Forced Torsional Vibration Using the Asymptotic Method,2024,Process Improvement
Project Engineers on the Frontline: The Impact of Work-Related Stressors and Turnover Intentions: A Correlational Study,2024,Management and Leadership
The Ontology of Nurse Wellbeing Within United States Air Force Primary Care Medical Homes,2024,Management and Leadership
Optimizing Moon Energy Storage for Resilience: A 20-Year Life Cycle Approach,2024,Process Improvement
<strong>Skills of an Effective United States Air Force Program Manager:</strong> A Qualitative Descriptive Study of the Skills Required for United States Air Force Program Managers,2024,Continuous Learning
Leadership Development Strategies for Sustaining Organization Performance Through the Upper Echelon Theory,2024,Management and Leadership
LEADER DEVELOPMENT: Army Invests in Logisticians with Industry-Based Broadening Opportunity: Army Logistician,2023,Continuous Learning
SEPARATE BUT TOGETHER,2023,Management and Leadership
What Being a DoD Financial Management Professional Means,2023,Management and Leadership
CAN YOU HEAR ME?,2023,Management and Leadership
smart women Awards,2023,Management and Leadership
INDUSTRY MEMBERS-President's Circle,2023,Management and Leadership
Passing the Word,2023,Management and Leadership
Performance Indicators for Collaborative Business Ecosystems,2023,Process Improvement
Lean Six Sigma Application in the Healthcare Sector a Case Study in a Gynaecology Exam Room,2023,Process Improvement
The Influence of Attachment Styles and Mental Health Symptoms on Marital Satisfaction Among Deployed US Army Soldiers,2023,Management and Leadership
Transitioning From Military Life: Furthering Higher Education for the Air Force Enlisted Member,2023,Process Improvement
Improving Defense Acquisition Process Timelines in a System Program Office,2023,Management and Leadership
Correlating Leadership Styles to Job Satisfaction in the U.S. Army’s Parachute Rigger Community,2023,Management and Leadership
Designing Doctrine Between Failures: The Role Knowledge Creation Plays in Organizational Learning When the Environment is Complex,2023,Process Improvement
Characteristics of Non-benzodiazepine Sedative Hypnotic Use Among Combat Injured U.S. Service Members With Insomnia,2023,Process Improvement
Knowledge Management Implementation in U.S. Army Headquarters: A Case Study,2023,Process Improvement
Project Teams’ Dynamics and Morale: An Exploration of Impacts of Pandemic Adaptation in a Segment of the U.S. Navy,2023,Management and Leadership
Characteristics of Non-Benzodiazepine Sedative Hypnotic Use Among Combat Injured U.S. Service Members with Insomnia,2023,Process Improvement
Natural Antioxidant By-Product Mixture Counteracts the Effects of Aflatoxin B1 and Ochratoxin A Exposure of Piglets after Weaning: A Proteomic Survey on Liver Microsomal Fraction,2023,Process Improvement
Engineering Management Tool for Minimizing Errors and Costs in Diagnosing PTSD in Veterans,2023,Process Improvement
Improving Depot Repair Lead Time Using Lean Six Sigma,2023,Process Improvement
"The Good, the Bad, and the Ugly (of Service Contracting)",2022,Management and Leadership
Chairman's Circle,2022,Management and Leadership
Bayesian Modeling Coating Performance,2022,Management and Leadership
Improve Soldiers' Work Lives By Automating Workloads,2022,Process Improvement
THE ESSENTIAL ROLE OF SOLDIER TOUCH POINTS,2022,Management and Leadership
Developments in high-resolution mass spectrometric analyses of new psychoactive substances,2022,Continuous Learning
"A Textile Education, Circa 2022",2022,Management and Leadership
Demystifying service as a US Army engineer: IE,2022,Management and Leadership
Evaluation of Analysis Methods in Mass Spectrometry Based Proteomics,2022,Continuous Learning
Continual Improvements in Information and Technology: A Quantitative Ex Post Facto (Causal Comparative) Study Design,2022,Process Improvement
A Qualitative Intrinsic Case Study Exploring the Effectiveness of Instructor Upgrade Training among Air National Guard Air Battle Managers,2022,Management and Leadership
Intervenciones basadas en métodos de relajación en el contexto escolar desde la perspectiva de la promoción de la salud y el bienestar: una revisión sistemática (Relaxation methods based interventions in a school context from a perspective of health and w,2022,Process Improvement
Sole Sourcing Reliance,2022,Management and Leadership
Applying Model-Based Systems Engineering in Search of Quality by Design,2022,Process Improvement
Pancreatic cancer cells spectral library by DIA-MS and the phenotype analysis of gemcitabine sensitivity,2022,Continuous Learning
Staff Hypertension Education Program for Vulnerable Populations in a Primary Care Setting,2022,Continuous Learning
From the Editor-in-Chief,2021,Management and Leadership
