year,Case Study,Commentary,Conference Proceedings,Cover Story,Dissertation/Thesis,Feature,General Information,Interview,Journal Article,Letter,News,PERIODICAL,Report,Review,article,statistics
1992,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
1993,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
1994,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0
1995,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,3,0,0,0,1,0,0,2,0,0,1,1
1997,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2000,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0
2001,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
2003,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0
2004,0,1,0,1,1,5,0,0,0,0,0,0,2,0,0,0
2005,0,1,0,1,5,5,0,0,0,0,3,2,0,0,0,0
2006,0,4,0,0,6,5,1,0,0,0,1,0,1,0,0,0
2007,0,3,0,0,6,6,0,0,0,1,3,1,0,0,0,0
2008,0,0,0,0,14,4,0,0,0,0,2,0,1,0,0,0
2009,0,0,0,0,14,8,1,1,1,0,2,0,2,0,0,0
2010,0,0,0,0,13,4,0,0,1,0,0,0,0,0,0,0
2011,0,1,0,0,11,5,1,0,0,0,0,0,0,0,0,0
2012,0,1,0,0,6,5,0,0,2,0,0,0,0,0,0,0
2013,0,0,0,0,11,2,2,0,1,0,1,0,0,0,0,0
2014,0,1,0,0,14,5,2,0,0,0,6,0,0,0,0,0
2015,1,0,1,0,8,5,2,0,0,0,2,0,0,0,0,0
2016,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,3,0,23,3,4,0,5,0,0,0,0,0,0,0
2018,0,0,3,0,13,2,4,0,2,0,0,0,0,0,0,0
2019,0,0,0,0,10,3,2,0,1,0,0,0,0,0,0,0
2020,0,0,4,0,9,1,5,1,4,0,0,0,0,0,0,0
2021,0,0,0,0,11,2,5,0,4,0,0,0,0,0,0,0
2022,0,3,0,0,6,1,2,0,3,0,0,0,0,1,0,0
2023,0,1,0,0,13,1,5,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,6,2,2,0,3,0,1,0,0,0,0,0
2025,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
