Title,year,Authors
A Predictive Decision-Support Framework Using Machine Learning Algorithms to Mitigate Supply Chain Risks and Optimize On-Time Delivery of Gas Turbine Jet Engines,2025,"Peeples, Thomas L., Jr."
Imaging anatomy study related to unilateral biportal endoscopic lumbar spine surgery,2024,"Hu, Shengxuan;Zhang, Jingwen;Zeng, Weibo;Zhu, Zhemin;Wang, Shuai;Lin, Zhaowei;Shi, Benchao"
"Signal Processing for Large Arrays : Convolutional Beamspace, Hybrid Analog and Digital Processing, and Distributed Algorithms",2024,"Chen, Po-Chih"
Dynamic Instability Investigation of the Automotive Driveshaft’s Forced Torsional Vibration Using the Asymptotic Method,2024,"Bugaru, Mihai;Vasile, Ovidiu"
Optimizing Moon Energy Storage for Resilience: A 20-Year Life Cycle Approach,2024,"Lau, Sally Si Min"
Performance Indicators for Collaborative Business Ecosystems,2023,"de Brito Graça, Maria Paula"
Lean Six Sigma Application in the Healthcare Sector a Case Study in a Gynaecology Exam Room,2023,"Pinto, Inês Alvim Carvalho Rebelo"
Transitioning From Military Life: Furthering Higher Education for the Air Force Enlisted Member,2023,"Patrick, Savannah M."
Designing Doctrine Between Failures: The Role Knowledge Creation Plays in Organizational Learning When the Environment is Complex,2023,"Martin, Grant Michael"
Characteristics of Non-benzodiazepine Sedative Hypnotic Use Among Combat Injured U.S. Service Members With Insomnia,2023,"Crouch, Daniel Joseph"
Knowledge Management Implementation in U.S. Army Headquarters: A Case Study,2023,"Van Laar, David M."
Characteristics of Non-Benzodiazepine Sedative Hypnotic Use Among Combat Injured U.S. Service Members with Insomnia,2023,"Crouch, Daniel Joseph"
Engineering Management Tool for Minimizing Errors and Costs in Diagnosing PTSD in Veterans,2023,"Le, Jacqueline"
Improving Depot Repair Lead Time Using Lean Six Sigma,2023,"Richmond, Ann M."
Improve Soldiers' Work Lives By Automating Workloads,2022,"Bodoh, Madeline;Reed, Jeremy"
Continual Improvements in Information and Technology: A Quantitative Ex Post Facto (Causal Comparative) Study Design,2022,"Mosley, Mark Dion"
Intervenciones basadas en métodos de relajación en el contexto escolar desde la perspectiva de la promoción de la salud y el bienestar: una revisión sistemática (Relaxation methods based interventions in a school context from a perspective of health and w,2022,"Sarroeira, Sara;Beatriz Oliveira Pereira;Carvalho, Graça S;Eugenio Rodríguez Fernandéz"
Applying Model-Based Systems Engineering in Search of Quality by Design,2022,"Miller, Andrew R."
A 'triple-dog-dare' to achieve quality through strategic layering,2021,Anonymous
Sustaining Relevance: Repositioning Strategic Logistics Innovation in the Military,2021,"Van Fenema, Paul Christian;Van Kampen, Ton;De Gooijer, Gerold;Faber, Nynke;Hendriks, Harm;Hoogstrate, Andre;Schlicher, Loe"
Seating Solution,2021,"Young, Cynthia J"
